;Frechet distance;Metabolite;Vendor-defined super-pathway;Vendor-defined sub-pathway;Fluid;Platform;KEGG;HMDB;ID;labels
1309;2,3144;glycochenodeoxycholate;Lipids;Primary Bile Acid Metabolism;Plasma;Metabolon HD4 [nt-ms];C05466;HMDB00637;1090816;glycochenodeoxycholate [P, nt-ms]
1310;2,3155;alpha-hydroxyisovalerate;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB00407;2091161;alpha-hydroxyisovalerate [U, nt-ms]
1311;2,3156;1-oleoyl-GPE (18:1);Lipids;Lysolipid;Plasma;Metabolon HD4 [nt-ms];NA;HMDB11506;1090532;1-oleoyl-GPE (18:1) [P, nt-ms]
1312;2,3171;6-oxopiperidine-2-carboxylic acid;Amino Acids;Lysine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090667;6-oxopiperidine-2-carboxylic acid [P, nt-ms]
1313;2,3172;isovalerylglycine;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00678;1090863;isovalerylglycine [P, nt-ms]
1314;2,3175;3-hydroxyisobutyrate;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Plasma;Metabolon HD4 [nt-ms];C06001;HMDB00336;1090599;3-hydroxyisobutyrate [P, nt-ms]
1315;2,3186;M88;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080430;M88 [BA, PTRMS]
1316;2,3225;3-hydroxy-3-methylglutarate;Lipids;Mevalonate Metabolism;Plasma;Metabolon HD4 [nt-ms];C03761;HMDB00355;1090592;3-hydroxy-3-methylglutarate [P, nt-ms]
1317;2,3233;3-sialyllactose;Carbohydrates;Disaccharides and Oligosaccharides;Urine;Metabolon HD4 [nt-ms];NA;HMDB00825;2091133;3-sialyllactose [U, nt-ms]
1318;2,3239;p-cresol sulfate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C01468;HMDB11635;2090970;p-cresol sulfate [U, nt-ms]
1319;2,3248;adenosine;Nucleotides;Purine Metabolism, Adenine containing;Urine;Metabolon HD4 [nt-ms];C00212;HMDB00050;2090677;adenosine [U, nt-ms]
1320;2,3284;maltose;Carbohydrates;Glycogen Metabolism;Plasma;Metabolon HD4 [nt-ms];C00208;HMDB00163;1090880;maltose [P, nt-ms]
1321;2,3314;3-hydroxyindolin-2-one;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C11130;NA;2091114;3-hydroxyindolin-2-one [U, nt-ms]
1322;2,3359;M65;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080409;M65 [BA, PTRMS]
1323;2,3374;N4-acetylcytidine;Nucleotides;Pyrimidine Metabolism, Cytidine containing;Urine;Metabolon HD4 [nt-ms];NA;HMDB05923;2090902;N4-acetylcytidine [U, nt-ms]
1324;2,3386;5alpha-pregnan-3(alpha or beta),20beta-diol disulfate;Lipids;Steroid;Urine;Metabolon HD4 [nt-ms];NA;NA;2090655;5alpha-pregnan-3(alpha or beta),20beta-diol disulfate [U, nt-ms]
1325;2,3406;hexanoylglycine;Lipids;Fatty Acid Metabolism(Acyl Glycine);Urine;Metabolon HD4 [nt-ms];NA;HMDB00701;2090834;hexanoylglycine [U, nt-ms]
1326;2,3426;cortisone;Lipids;Steroid;Urine;Metabolon HD4 [nt-ms];C00762;HMDB02802;2090739;cortisone [U, nt-ms]
1327;2,3435;3-hydroxybutyrate (BHBA);Lipids;Ketone Bodies;Plasma;Metabolon HD4 [nt-ms];C01089;HMDB00357;1090593;3-hydroxybutyrate (BHBA) [P, nt-ms]
1328;2,3436;fumarate;Energy;TCA Cycle;Plasma;Metabolon HD4 [nt-ms];C00122;HMDB00134;1090779;fumarate [P, nt-ms]
1329;2,3438;glycocholate glucuronide (1);Lipids;Primary Bile Acid Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090820;glycocholate glucuronide (1) [P, nt-ms]
1330;2,3456;orotate;Nucleotides;Pyrimidine Metabolism, Orotate containing;Plasma;Metabolon HD4 [nt-ms];C00295;HMDB00226;1090960;orotate [P, nt-ms]
1331;2,3481;N-acetylglutamate;Amino Acids;Glutamate Metabolism;Plasma;Metabolon HD4 [nt-ms];C00624;HMDB01138;1090920;N-acetylglutamate [P, nt-ms]
1332;2,3493;1,6-anhydroglucose;Xenobiotics;Food Component/Plant;Plasma;Metabolon HD4 [nt-ms];NA;HMDB00640;1090487;1,6-anhydroglucose [P, nt-ms]
1333;2,3566;nicotinamide;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Urine;Metabolon HD4 [nt-ms];C00153;HMDB01406;2090942;nicotinamide [U, nt-ms]
1334;2,3573;symmetric dimethylarginine (SDMA);Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Urine;Metabolon HD4 [nt-ms];C03626;HMDB03334;2091283;symmetric dimethylarginine (SDMA) [U, nt-ms]
1335;2,3581;phenylalanylglycine;Peptides;Dipeptide;Urine;Metabolon HD4 [nt-ms];NA;NA;2090978;phenylalanylglycine [U, nt-ms]
1336;2,359;4-androsten-3beta,17beta-diol disulfate (2);Lipids;Steroid;Urine;Metabolon HD4 [nt-ms];C04295;HMDB03818;2090628;4-androsten-3beta,17beta-diol disulfate (2) [U, nt-ms]
1337;2,3635;3-ureidopropionate;Nucleotides;Pyrimidine Metabolism, Uracil containing;Urine;Metabolon HD4 [nt-ms];C02642;HMDB00026;2090618;3-ureidopropionate [U, nt-ms]
1338;2,3739;3-hydroxybutyrylcarnitine (1);Lipids;Fatty Acid Metabolism(Acyl Carnitine);Plasma;Metabolon HD4 [nt-ms];NA;HMDB13127;1090594;3-hydroxybutyrylcarnitine (1) [P, nt-ms]
1339;2,377;cysteine s-sulfate;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Urine;Metabolon HD4 [nt-ms];C05824;HMDB00731;2090747;cysteine s-sulfate [U, nt-ms]
1340;2,3776;cortisol glucuronide;Lipids;Steroid;Urine;Metabolon HD4 [nt-ms];NA;NA;2091175;cortisol glucuronide [U, nt-ms]
1341;2,3782;vanillate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C06672;HMDB00484;2091297;vanillate [U, nt-ms]
1342;2,3805;5-oxoproline;Amino Acids;Glutathione Metabolism;Urine;Metabolon HD4 [nt-ms];C01879;HMDB00267;2090665;5-oxoproline [U, nt-ms]
1343;2,381;3'-a-sialyl-N-acetyllactosamine;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091108;3'-a-sialyl-N-acetyllactosamine [U, nt-ms]
1344;2,3818;3-methylglutarate;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB00752;2091130;3-methylglutarate [U, nt-ms]
1345;2,3826;2-hydroxyoctanoate;Lipids;Fatty Acid, Monohydroxy;Plasma;Metabolon HD4 [nt-ms];NA;HMDB02264;1090565;2-hydroxyoctanoate [P, nt-ms]
1346;2,3853;malate;Energy;TCA Cycle;Plasma;Metabolon HD4 [nt-ms];C00149;HMDB00156;1090876;malate [P, nt-ms]
1347;2,3912;gamma-CEHC glucuronide*;Cofactors and Vitamins;Tocopherol Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090782;gamma-CEHC glucuronide* [U, nt-ms]
1348;2,3915;2-hydroxybutyrate/2-hydroxyisobutyrate;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090562;2-hydroxybutyrate/2-hydroxyisobutyrate [P, nt-ms]
1349;2,3931;pantothenate;Cofactors and Vitamins;Pantothenate and CoA Metabolism;Plasma;Metabolon HD4 [nt-ms];C00864;HMDB00210;1090968;pantothenate [P, nt-ms]
1350;2,3948;trans-aconitate;Energy;TCA Cycle;Urine;Metabolon HD4 [nt-ms];C02341;HMDB00958;2091291;trans-aconitate [U, nt-ms]
1351;2,3962;N-acetylglucosaminylasparagine;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];C04540;HMDB00489;2090919;N-acetylglucosaminylasparagine [U, nt-ms]
1352;2,3974;oxalate (ethanedioate);Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;Plasma;Metabolon HD4 [nt-ms];C00209;HMDB02329;1090963;oxalate (ethanedioate) [P, nt-ms]
1353;2,3982;acisoga;Amino Acids;Polyamine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090675;acisoga [U, nt-ms]
1354;2,401;guanine;Nucleotides;Purine Metabolism, Guanine containing;Urine;Metabolon HD4 [nt-ms];C00242;HMDB00132;2091203;guanine [U, nt-ms]
1355;2,4031;cys-gly, oxidized;Amino Acids;Glutathione Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090744;cys-gly, oxidized [U, nt-ms]
1356;2,4032;taurohyodeoxycholic acid;Lipids;Secondary Bile Acid Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091286;taurohyodeoxycholic acid [U, nt-ms]
1357;2,4088;3-methoxytyramine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C05587;HMDB00022;2091124;3-methoxytyramine [U, nt-ms]
1358;2,4103;2-hydroxybutyrate/2-hydroxyisobutyrate;Amino Acids;Methionine, Cysteine, SAM and Taurine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090562;2-hydroxybutyrate/2-hydroxyisobutyrate [U, nt-ms]
1359;2,4207;quinolinate;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Urine;Metabolon HD4 [nt-ms];C03722;HMDB00232;2091004;quinolinate [U, nt-ms]
1360;2,4211;alpha-hydroxyisocaproate;Amino Acids;Leucine, Isoleucine and Valine Metabolism;Urine;Metabolon HD4 [nt-ms];C03264;HMDB00746;2090686;alpha-hydroxyisocaproate [U, nt-ms]
1361;2,4275;phenylacetylglycine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C05598;HMDB00821;2091254;phenylacetylglycine [U, nt-ms]
1362;2,4346;orotidine;Nucleotides;Pyrimidine Metabolism, Orotate containing;Urine;Metabolon HD4 [nt-ms];C01103;HMDB00788;2090961;orotidine [U, nt-ms]
1363;2,4382;picolinate;Amino Acids;Tryptophan Metabolism;Urine;Metabolon HD4 [nt-ms];C10164;HMDB02243;2091257;picolinate [U, nt-ms]
1364;2,4394;2-hydroxyphenylacetate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C05852;HMDB00669;2090567;2-hydroxyphenylacetate [U, nt-ms]
1365;2,441;1-methylnicotinamide;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Urine;Metabolon HD4 [nt-ms];C02918;HMDB00699;2090526;1-methylnicotinamide [U, nt-ms]
1366;2,4428;imidazole lactate;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];C05568;HMDB02320;2090846;imidazole lactate [U, nt-ms]
1367;2,4431;M135;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080468;M135 [BA, PTRMS]
1368;2,4451;urea;Amino Acids;"Urea cycle; Arginine and Proline Metabolism";Urine;Metabolon HD4 [nt-ms];C00086;HMDB00294;2091063;urea [U, nt-ms]
1369;2,4453;11-ketoetiocholanolone sulfate;Lipids;Steroid;Urine;Metabolon HD4 [nt-ms];NA;NA;2091075;11-ketoetiocholanolone sulfate [U, nt-ms]
1370;2,4473;4-ureidobutyrate;Nucleotides;Pyrimidine Metabolism, Uracil containing;Urine;Metabolon HD4 [nt-ms];NA;NA;2091143;4-ureidobutyrate [U, nt-ms]
1371;2,4508;21-hydroxypregnenolone disulfate;Lipids;Steroid;Urine;Metabolon HD4 [nt-ms];C05485;HMDB04026;2090548;21-hydroxypregnenolone disulfate [U, nt-ms]
1372;2,4525;3-methylxanthine;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16357;HMDB01886;1090615;3-methylxanthine [P, nt-ms]
1373;2,4538;pseudouridine;Nucleotides;Pyrimidine Metabolism, Uracil containing;Urine;Metabolon HD4 [nt-ms];C02067;HMDB00767;2090998;pseudouridine [U, nt-ms]
1374;2,4572;1-methyl-beta-carboline-3-carboxylic acid;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];NA;NA;2091079;1-methyl-beta-carboline-3-carboxylic acid [U, nt-ms]
1375;2,4696;M90;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080432;M90 [BA, PTRMS]
1376;2,4703;aspartate;Amino Acids;Alanine and Aspartate Metabolism;Urine;Metabolon HD4 [nt-ms];C00049;HMDB00191;2090700;aspartate [U, nt-ms]
1377;2,472;threonate;Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;Plasma;Metabolon HD4 [nt-ms];C01620;HMDB00943;1091046;threonate [P, nt-ms]
1378;2,4753;C-glycosyltryptophan;Amino Acids;Tryptophan Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2090726;C-glycosyltryptophan [U, nt-ms]
1379;2,4788;M93;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080434;M93 [BA, PTRMS]
1380;2,4814;theobromine;Xenobiotics;Xanthine Metabolism;Urine;Metabolon HD4 [nt-ms];C07480;HMDB02825;2091044;theobromine [U, nt-ms]
1381;2,4855;nicotinamide riboside;Cofactors and Vitamins;Nicotinate and Nicotinamide Metabolism;Urine;Metabolon HD4 [nt-ms];C03150;HMDB00855;2090943;nicotinamide riboside [U, nt-ms]
1382;2,4887;taurocholenate sulfate;Lipids;Secondary Bile Acid Metabolism;Plasma;Metabolon HD4 [nt-ms];NA;NA;1091038;taurocholenate sulfate [P, nt-ms]
1383;2,4898;2'-deoxyinosine;Nucleotides;Purine Metabolism, (Hypo)Xanthine/Inosine containing;Urine;Metabolon HD4 [nt-ms];C05512;HMDB00071;2091086;2'-deoxyinosine [U, nt-ms]
1384;2,4906;hexanoylglycine;Lipids;Fatty Acid Metabolism(Acyl Glycine);Plasma;Metabolon HD4 [nt-ms];NA;HMDB00701;1090834;hexanoylglycine [P, nt-ms]
1385;2,4911;malonate;Lipids;Fatty Acid Synthesis;Urine;Metabolon HD4 [nt-ms];C00383;HMDB00691;2090878;malonate [U, nt-ms]
1386;2,4969;glycylvaline;Peptides;Dipeptide;Plasma;Metabolon HD4 [nt-ms];NA;HMDB28854;1090828;glycylvaline [P, nt-ms]
1387;2,5034;cis-aconitate;Energy;TCA Cycle;Urine;Metabolon HD4 [nt-ms];C00417;HMDB00072;2090734;cis-aconitate [U, nt-ms]
1388;2,5091;fumarate;Energy;TCA Cycle;Urine;Metabolon HD4 [nt-ms];C00122;HMDB00134;2090779;fumarate [U, nt-ms]
1389;2,5129;taurocholenate sulfate;Lipids;Secondary Bile Acid Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091038;taurocholenate sulfate [U, nt-ms]
1390;2,513;homocitrate;Xenobiotics;Food Component/Plant;Urine;Metabolon HD4 [nt-ms];C01251;HMDB03518;2091209;homocitrate [U, nt-ms]
1391;2,5192;M71;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080414;M71 [BA, PTRMS]
1392;2,5196;fucose;Carbohydrates;Pentose Metabolism;Urine;Metabolon HD4 [nt-ms];C01018;HMDB00174;2091194;fucose [U, nt-ms]
1393;2,5228;orotate;Nucleotides;Pyrimidine Metabolism, Orotate containing;Urine;Metabolon HD4 [nt-ms];C00295;HMDB00226;2090960;orotate [U, nt-ms]
1394;2,5232;threonate;Cofactors and Vitamins;Ascorbate and Aldarate Metabolism;Urine;Metabolon HD4 [nt-ms];C01620;HMDB00943;2091046;threonate [U, nt-ms]
1395;2,5247;C8:1 (octenoylcarnitine);Lipids;Medium chain Acylcarnitines;Plasma;Biocrates p150 [t-ms];C06423;HMDB00482;1010066;C8:1 (octenoylcarnitine) [P, t-ms]
1396;2,5281;M96;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080437;M96 [BA, PTRMS]
1397;2,5286;6-sialyl-N-acetyllactosamine;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB06584;2091152;6-sialyl-N-acetyllactosamine [U, nt-ms]
1398;2,5344;taurolithocholate;Lipids;Secondary Bile Acid Metabolism;Plasma;Metabolon HD4 [nt-ms];C02592;HMDB00722;1091040;taurolithocholate [P, nt-ms]
1399;2,5359;2'-deoxyadenosine;Nucleotides;Purine Metabolism, Adenine containing;Urine;Metabolon HD4 [nt-ms];C00559;HMDB00101;2091084;2'-deoxyadenosine [U, nt-ms]
1400;2,5441;N6-carbamoylthreonyladenosine;Nucleotides;Purine Metabolism, Adenine containing;Urine;Metabolon HD4 [nt-ms];NA;HMDB41623;2090905;N6-carbamoylthreonyladenosine [U, nt-ms]
1401;2,5448;5-(galactosylhydroxy)-L-lysine;Amino Acids;Lysine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091145;5-(galactosylhydroxy)-L-lysine [U, nt-ms]
1402;2,5459;chylomicrons size;Lipids;Lipoprotein;Plasma;numares (Lipofit) [NMR];NA;NA;1070002;chylomicrons size [P, NMR]
1403;2,5492;glucose;Carbohydrates;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;Urine;Metabolon HD4 [nt-ms];C00031;HMDB00122;2090801;glucose [U, nt-ms]
1404;2,5501;M72;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080415;M72 [BA, PTRMS]
1405;2,5533;lanthionine;Xenobiotics;Chemical;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090868;lanthionine [P, nt-ms]
1406;2,5535;citrate;Energy;TCA Cycle;Urine;Metabolon HD4 [nt-ms];C00158;HMDB00094;2090735;citrate [U, nt-ms]
1407;2,5584;prostaglandin E2;Lipids;Eicosanoid;Urine;Metabolon HD4 [nt-ms];C00584;HMDB01220;2091263;prostaglandin E2 [U, nt-ms]
1408;2,56;4-hydroxyphenylacetate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Plasma;Metabolon HD4 [nt-ms];C00642;HMDB00020;1090635;4-hydroxyphenylacetate [P, nt-ms]
1409;2,5638;M119;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080459;M119 [BA, PTRMS]
1410;2,5672;carboxyethyl-GABA;Amino Acids;Glutamate Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB02201;2091170;carboxyethyl-GABA [U, nt-ms]
1411;2,5674;ethanolamine;Lipids;Phospholipid Metabolism;Urine;Metabolon HD4 [nt-ms];C00189;HMDB00149;2091190;ethanolamine [U, nt-ms]
1412;2,5698;pantothenate;Cofactors and Vitamins;Pantothenate and CoA Metabolism;Urine;Metabolon HD4 [nt-ms];C00864;HMDB00210;2090968;pantothenate [U, nt-ms]
1413;2,5699;carboxyibuprofen;Xenobiotics;Drug;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090722;carboxyibuprofen [P, nt-ms]
1414;2,579;N-acetylglucosamine/N-acetylgalactosamine;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091234;N-acetylglucosamine/N-acetylgalactosamine [U, nt-ms]
1415;2,581;7-methylxanthine;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16353;HMDB01991;1090671;7-methylxanthine [P, nt-ms]
1416;2,5859;1-methylimidazoleacetate;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];C05828;HMDB02820;2090525;1-methylimidazoleacetate [U, nt-ms]
1417;2,5866;2-hydroxyibuprofen;Xenobiotics;Drug;Urine;Metabolon HD4 [nt-ms];NA;NA;2091091;2-hydroxyibuprofen [U, nt-ms]
1418;2,5919;M143;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080473;M143 [BA, PTRMS]
1419;2,5943;M133;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080467;M133 [BA, PTRMS]
1420;2,5974;theobromine;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C07480;HMDB02825;1091044;theobromine [P, nt-ms]
1421;2,5982;riboflavin (Vitamin B2);Cofactors and Vitamins;Riboflavin Metabolism;Urine;Metabolon HD4 [nt-ms];C00255;HMDB00244;2091007;riboflavin (Vitamin B2) [U, nt-ms]
1422;2,5984;M46;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080393;M46 [BA, PTRMS]
1423;2,6011;pyridoxate;Cofactors and Vitamins;Vitamin B6 Metabolism;Plasma;Metabolon HD4 [nt-ms];C00847;HMDB00017;1090999;pyridoxate [P, nt-ms]
1424;2,6156;phenylacetylglutamate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB59772;2090974;phenylacetylglutamate [U, nt-ms]
1425;2,6225;prostaglandin E1;Lipids;Eicosanoid;Urine;Metabolon HD4 [nt-ms];C04741;HMDB01442;2091262;prostaglandin E1 [U, nt-ms]
1426;2,626;N-acetylputrescine;Amino Acids;Polyamine Metabolism;Urine;Metabolon HD4 [nt-ms];C02714;HMDB02064;2090931;N-acetylputrescine [U, nt-ms]
1427;2,6307;ribitol;Carbohydrates;Pentose Metabolism;Urine;Metabolon HD4 [nt-ms];C00474;HMDB00508;2091006;ribitol [U, nt-ms]
1428;2,6352;3-hydroxy-3-methylglutarate;Lipids;Mevalonate Metabolism;Urine;Metabolon HD4 [nt-ms];C03761;HMDB00355;2090592;3-hydroxy-3-methylglutarate [U, nt-ms]
1429;2,6354;sucrose;Carbohydrates;Disaccharides and Oligosaccharides;Urine;Metabolon HD4 [nt-ms];C00089;HMDB00258;2091030;sucrose [U, nt-ms]
1430;2,636;4-acetylphenol sulfate;Xenobiotics;Drug;Plasma;Metabolon HD4 [nt-ms];NA;NA;1090623;4-acetylphenol sulfate [P, nt-ms]
1431;2,6422;N6-succinyladenosine;Nucleotides;Purine Metabolism, Adenine containing;Urine;Metabolon HD4 [nt-ms];NA;HMDB00912;2090907;N6-succinyladenosine [U, nt-ms]
1432;2,6495;N2-methylguanosine;Nucleotides;Purine Metabolism, Guanine containing;Urine;Metabolon HD4 [nt-ms];NA;HMDB05862;2091228;N2-methylguanosine [U, nt-ms]
1433;2,6542;M91;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080433;M91 [BA, PTRMS]
1434;2,6555;succinate;Energy;TCA Cycle;Urine;Metabolon HD4 [nt-ms];C00042;HMDB00254;2091028;succinate [U, nt-ms]
1435;2,6561;7-methylguanine;Nucleotides;Purine Metabolism, Guanine containing;Urine;Metabolon HD4 [nt-ms];C02242;HMDB00897;2090670;7-methylguanine [U, nt-ms]
1436;2,6615;M104;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080445;M104 [BA, PTRMS]
1437;2,6629;M95;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080436;M95 [BA, PTRMS]
1438;2,6676;N1-methyladenosine;Nucleotides;Purine Metabolism, Adenine containing;Urine;Metabolon HD4 [nt-ms];C02494;HMDB03331;2090899;N1-methyladenosine [U, nt-ms]
1439;2,6817;malonylcarnitine;Lipids;Fatty Acid Synthesis;Urine;Metabolon HD4 [nt-ms];NA;HMDB02095;2090879;malonylcarnitine [U, nt-ms]
1440;2,6826;lactate;Carbohydrates;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;Plasma;In-house biochemistry [chem.];C00186;HMDB00190;1050037;Lactate [P, chem.]
1441;2,6953;taurocholate;Lipids;Primary Bile Acid Metabolism;Urine;Metabolon HD4 [nt-ms];C05122;HMDB00036;2091037;taurocholate [U, nt-ms]
1442;2,6957;M109;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080450;M109 [BA, PTRMS]
1443;2,6983;4-imidazoleacetate;Amino Acids;Histidine Metabolism;Urine;Metabolon HD4 [nt-ms];C02835;HMDB02024;2090638;4-imidazoleacetate [U, nt-ms]
1444;2,7171;N2,N2-dimethylguanosine;Nucleotides;Purine Metabolism, Guanine containing;Urine;Metabolon HD4 [nt-ms];NA;HMDB04824;2090900;N2,N2-dimethylguanosine [U, nt-ms]
1445;2,7378;M136;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080469;M136 [BA, PTRMS]
1446;2,7407;3,7-dimethylurate;Xenobiotics;Xanthine Metabolism;Plasma;Metabolon HD4 [nt-ms];C16360;HMDB01982;1090586;3,7-dimethylurate [P, nt-ms]
1447;2,7439;M114;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080454;M114 [BA, PTRMS]
1448;2,7654;M97;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080438;M97 [BA, PTRMS]
1449;2,7733;sucrose;Carbohydrates;Disaccharides and Oligosaccharides;Plasma;Metabolon HD4 [nt-ms];C00089;HMDB00258;1091030;sucrose [P, nt-ms]
1450;2,7786;erythronate*;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];NA;HMDB00613;2090771;erythronate* [U, nt-ms]
1451;2,7808;phenylacetylglutamine;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];C04148;HMDB06344;2090975;phenylacetylglutamine [U, nt-ms]
1452;2,7876;vanillic alcohol sulfate;Amino Acids;Phenylalanine and Tyrosine Metabolism;Urine;Metabolon HD4 [nt-ms];NA;NA;2091067;vanillic alcohol sulfate [U, nt-ms]
1453;2,7937;biotin;Cofactors and Vitamins;Biotin Metabolism;Urine;Metabolon HD4 [nt-ms];C00120;HMDB00030;2091169;biotin [U, nt-ms]
1454;2,7989;M141;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080472;M141 [BA, PTRMS]
1455;2,8042;creatinine;Amino Acids;Creatine Metabolism;Urine;Metabolon HD4 [nt-ms];C00791;HMDB00562;2090743;creatinine [U, nt-ms]
1456;2,8169;3-methylcytidine;Nucleotides;Pyrimidine Metabolism, Cytidine containing;Urine;Metabolon HD4 [nt-ms];NA;NA;2090612;3-methylcytidine [U, nt-ms]
1457;2,8214;diglycerol;Xenobiotics;Chemical;Urine;Metabolon HD4 [nt-ms];NA;NA;2091182;diglycerol [U, nt-ms]
1458;2,8243;M116;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080456;M116 [BA, PTRMS]
1459;2,8435;lactate;Carbohydrates;Glycolysis, Gluconeogenesis, and Pyruvate Metabolism;Plasma;Metabolon HD4 [nt-ms];C00186;HMDB00190;1090867;lactate [P, nt-ms]
1460;2,8455;N-acetylneuraminate;Carbohydrates;Aminosugar Metabolism;Urine;Metabolon HD4 [nt-ms];C00270;HMDB00230;2090929;N-acetylneuraminate [U, nt-ms]
1461;2,859;M111;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080451;M111 [BA, PTRMS]
1462;2,8665;M87;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080429;M87 [BA, PTRMS]
1463;2,8747;M125;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080462;M125 [BA, PTRMS]
1464;2,8762;M145;Unknowns;Unknown;Breath air;In-house PTR-MS [PTRMS];NA;NA;4080474;M145 [BA, PTRMS]
